Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.IG.A3I8.01,0,0,0.127559580059185,0.02352299286450486,0,0.11008664523950526,0,0.05497124499388466,0.14245111984666955,0,0.06214513692835521,0,0.00834641447945236,0.06007798988763941,0,0.054514424654092085,0.053125184236338524,0.12374414079507595,0,0.179455126015297,0,0,0.293,0.044639323295068666,1.0675147042106812
TCGA.XP.A8T6.01,0.013175931258092874,0,0.0920181087927898,0.06514900527738289,0,0.1012996236392119,0,0.08117521509920925,0.09266767336345495,0,0.008496335156901392,0,0.07129106195739753,0,0.035937791700893326,0.22700606751038882,0.06689680268923606,0.03660167606728819,0,0.10828470748775301,0,0,0.186,0.06857346976137678,1.04713697368729
TCGA.X8.AAAR.01,0.21702721563361047,0,0.003031582998332876,0.07832015602934111,0,0.24532759163334164,0,0.1447730610375986,0.007605214361421572,0,0,0.02734111423637012,0.0016411610752091533,0.011343464142195033,0.08267626071043264,0.10390570760477186,0,0.016619380467602786,0.06038809006977214,0,0,0,0.132,0.09041650156376294,1.0614972721635343
TCGA.VR.A8EP.01,0.04260971279749228,0,0.009610633036732806,0.05701607010064793,0,0.06343109880758248,0,0.0889241099645021,0.056180578359166705,0,0,0.029509993899505458,0,0.2968229643503814,0.0776476373664385,0.14012805932936317,0,0.02050092344650443,0,0.11394746187768018,0,0.003670756664002519,0.22,0.05899885917102392,1.087844448277798
TCGA.LN.A49R.01,0.0009,0,0.01068206741432666,0.0915226312599684,0,0.022016127479272594,0.10471455799424743,0.046819145132494744,0,0,0,0.09329160466383589,0.0009,0.05444088718163693,0.15537738590503453,0.2518245112605754,0.015498125222404954,0.010979088579452675,0,0.14107921855530445,0,0,0.01,0.29550853666075766,0.9798053843574815
TCGA.IG.A8O2.01,0,0,0.012560177383244957,0.27986663895168173,0,0,0,0.16056582919730825,0.07797875182261989,0,0,0.11862564547023718,0.020284203732370682,0,0.05720782967035481,0.1665559214580987,0.028469340403010905,0.050646192638289886,0.027239469272783104,0,0,0,0.016,0.2616586957615417,0.993298111505639
TCGA.JY.A939.01,0.05438456208047416,0,0.03738065690092787,0.1011008011865695,0,0.3366328496727331,0,0.05108364302911667,0.024570165321098965,0.010527713349606012,0,0.02550622947746511,0.0030947695573686007,0.03304332501919935,0.12540245461584446,0.11213224534838721,0,0.002320324343787569,0.08282026009742142,0,0,0,0.014,0.2737498268570943,0.9792490962848249
TCGA.IG.A97H.01,0,0,0,0.01912503006196889,0.017586840931626935,0.07504080723927142,0,0,0.010316188868773111,0,0,0.03877045455919057,0,0.3471384612443536,0.01112707585513039,0.17385545706585395,0.0379400679876166,0.05109572769856684,0,0.21726183617426287,0,0.0007,0.01,0.2953250879426903,0.9983540783775883
TCGA.V5.AASX.01,0,0,0.023894943205915297,0.1570977308899108,0,0.10387530479852225,0.02833403681725673,0.08494654162793225,0.07497226383851935,0,0,0.17143649516746434,0.0030115373453673744,0.07705940038932248,0.0696770725508904,0.09701775251535255,0,0.008445582119988065,0.08510923075371592,0,0,0.015122107979842267,0.049,0.16464155776351203,1.0402807673789487
TCGA.L5.A4OQ.11,0.0019627681518475442,0,0.0006,0.020268937561665885,0,0.2535652249029764,0,0.0131406620318998,0.024590549676384965,0,0,0.09040187327506456,0.027371524345751175,0,0.009131941874797071,0.3332517261898532,0,0,0.21232552508799482,0,0,0.013356236913560074,0.051,0.16143859167476532,1.0240529330106916
